match_id,player_name,team_name,body_part,goalkeeper_name,goalkeeper_action,outcome,location_x,location_y,end_y,end_z,is_goal
3829498,Abdul Majeed Waris,Lorient,Right Foot,Cédric Carrasso,Penalty Conceded,Goal,108.1,40.1,37.9,0.3,1
3829493,Sofiane Boufal,Lille,Right Foot,Laurent Pionnier,Penalty Conceded,Goal,108.1,40.1,37.0,0.5,1
3829493,Ryad Boudebouz,Montpellier,Left Foot,Mike Maignan,Shot Faced,Post,108.1,40.1,36.1,2.5,0
3829491,Thomas Mangani,Angers,Left Foot,Steve Mandanda,Penalty Conceded,Goal,108.0,40.0,40.1,2.2,1
3829491,Michy Batshuayi Tunga,Marseille,Right Foot,Ludovic Butelle,Penalty Conceded,Goal,108.0,40.0,36.6,0.5,1
3829490,Jean-Christophe Bahebeck,Saint-Étienne,Right Foot,Mouez Hassen,Shot Faced,Off T,108.1,40.1,38.3,4.0,0
3829482,"David N""Gog",Stade de Reims,Right Foot,Mike Maignan,Penalty Saved,Saved,108.0,40.0,37.5,0.2,0
3829481,Fábio Henrique Tavares,AS Monaco,Right Foot,Jonathan Ligali,Penalty Conceded,Goal,108.0,40.0,36.5,0.2,1
3829473,Zlatan Ibrahimović,Paris Saint-Germain,Right Foot,Jonas Lössl,Penalty Saved,Saved,108.1,40.1,37.6,0.2,0
3829472,Alexandre Lacazette,Lyon,Right Foot,Steve Mandanda,Penalty Conceded,Goal,108.0,40.0,36.5,0.2,1
3829467,Jonas Martin,Montpellier,Right Foot,Rémy Vercoutre,Penalty Conceded,Goal,107.9,40.0,43.8,0.5,1
3829463,Paul-Georges Ntep de Madiba,Rennes,Right Foot,Mike Maignan,Penalty Saved,Saved,108.0,40.0,37.9,0.3,0
3829462,Fábio Henrique Tavares,AS Monaco,Right Foot,Clément Maury,Penalty Conceded,Goal,108.1,40.1,37.1,0.0,1
3829452,Wahbi Khazri,Bordeaux,Right Foot,Rémy Riou,Penalty Saved,Saved,108.0,40.0,38.0,0.7,0
3829449,Sylvain Armand,Rennes,Left Foot,Mauro Daniel Goicoechea Furia,Penalty Saved,Saved,108.1,40.1,37.9,0.2,0
3829443,Sloan Privat,Guingamp,Left Foot,Steve Mandanda,Penalty Saved,Saved,108.0,40.0,37.1,0.3,0
3829431,Benjamin Moukandjo Bilé,Lorient,Right Foot,Thomas Vincensini,Penalty Conceded,Goal,108.1,40.1,43.2,0.2,1
3829427,Hatem Ben Arfa,OGC Nice,Left Foot,Denis Petrić,Penalty Conceded,Goal,108.0,40.0,36.4,0.1,1
3829417,Mohamed Larbi,Gazélec Ajaccio,Right Foot,Paul Bernardoni,Shot Faced,Off T,108.0,40.0,42.7,4.2,0
7443,Jodie Taylor,OL Reign,Right Foot,Britt Eckerstrom,Penalty Conceded,Goal,108.0,40.0,36.2,0.4,1
7492,Marta Vieira da Silva,Orlando Pride,Left Foot,Kailen Mary Iacovoni Sheridan,Penalty Saved,Saved,108.0,40.0,42.4,1.3,0
7519,Lynn Raenie Williams,North Carolina Courage,Right Foot,Britt Eckerstrom,Penalty Conceded,Goal,109.0,41.0,44.0,1.6,1
7475,Yuki Nagasato,Chicago Red Stars,Right Foot,Katelyn Rowland,Penalty Conceded,Goal,109.0,41.0,36.2,0.7,1
7478,Megan Anna Rapinoe,OL Reign,Right Foot,Jane Campbell,Penalty Conceded,Goal,109.0,41.0,36.4,2.3,1
7456,Carli Anne Hollins,NJ/NY Gotham FC,Right Foot,Katelyn Rowland,Penalty Saved,Saved,109.0,41.0,36.6,1.0,0
7483,Alexandra Morgan Carrasco,Orlando Pride,Left Foot,Abby Smith,Penalty Conceded,Goal,109.0,41.0,43.6,2.2,1
3754058,Riyad Mahrez,Leicester City,Left Foot,Artur Boruc,Penalty Saved,Saved,108.4,40.2,43.0,0.9,0
3754039,Troy Deeney,Watford,Right Foot,Wayne Hennessey,Penalty Conceded,Goal,107.4,40.1,37.9,0.2,1
3754146,Riyad Mahrez,Leicester City,Left Foot,Jack Butland,Penalty Conceded,Goal,108.0,40.0,43.5,0.0,1
3754278,Glenn Murray,AFC Bournemouth,Right Foot,Heurelho da Silva Gomes,Penalty Saved,Saved,108.0,40.1,43.0,0.9,0
3753972,Jonjo Shelvey,Swansea City,Right Foot,Adam Federici,Penalty Conceded,Goal,108.1,40.1,43.8,0.2,1
3753978,Gylfi Þór Sigurðsson,Swansea City,Right Foot,Maarten Stekelenburg,Penalty Conceded,Goal,108.1,40.2,39.5,1.4,1
3754006,Rickie Lambert,West Bromwich Albion,Right Foot,Kasper Schmeichel,Penalty Conceded,Goal,108.0,40.0,43.5,0.4,1
3754023,Jamie Vardy,Leicester City,Right Foot,Artur Boruc,Penalty Conceded,Goal,108.1,40.1,42.5,2.0,1
3754025,Oscar dos Santos Emboaba Júnior,Chelsea,Right Foot,Costel Fane Pantilimon,Penalty Conceded,Goal,108.0,40.2,42.7,0.5,1
3754056,Marko Arnautović,Stoke City,Right Foot,Tim Howard,Penalty Conceded,Goal,108.1,40.1,39.5,1.5,1
3754067,Yohan Cabaye,Crystal Palace,Right Foot,Adrián San Miguel del Castillo,Penalty Conceded,Goal,108.5,40.2,36.7,2.3,1
3754047,James Philip Milner,Liverpool,Right Foot,Łukasz Fabiański,Penalty Conceded,Goal,108.3,39.6,39.9,2.1,1
3754099,Yohan Cabaye,Crystal Palace,Right Foot,Glyn Oliver Myhill,Penalty Conceded,Goal,108.2,40.1,42.4,2.3,1
3754057,Harry Kane,Tottenham Hotspur,Right Foot,Declan Rudd,Penalty Conceded,Goal,108.1,40.1,39.4,1.5,1
3754117,Olivier Giroud,Arsenal,Left Foot,Bradley Guzan,Penalty Conceded,Goal,108.3,40.2,42.9,0.0,1
3754054,Wilfried Guemiand Bony,Manchester City,Right Foot,Vito Mannone,Shot Faced,Off T,108.3,40.0,42.9,4.2,0
3754185,Troy Deeney,Watford,Right Foot,David de Gea Quintana,Penalty Conceded,Goal,108.1,40.1,38.2,2.0,1
3754119,Adam Johnson,Sunderland,Left Foot,Rob Elliot,Penalty Conceded,Goal,108.1,40.2,43.2,0.2,1
3754167,Gnégnéri Yaya Touré,Manchester City,Right Foot,John Ruddy,Penalty Conceded,Goal,108.1,40.0,36.9,0.4,1
3754167,Aleksandar Kolarov,Manchester City,Left Foot,John Ruddy,Shot Faced,Off T,108.2,40.1,45.5,0.4,0
3754153,Connor Wickham,Crystal Palace,Right Foot,Jack Butland,Penalty Conceded,Goal,108.1,40.1,40.8,0.7,1
3754153,Bojan Krkíc Pérez,Stoke City,Right Foot,Wayne Hennessey,Penalty Conceded,Goal,108.1,40.1,37.1,1.6,1
3754166,Riyad Mahrez,Leicester City,Left Foot,Tim Howard,Penalty Conceded,Goal,108.0,40.0,36.3,0.2,1
3754166,Riyad Mahrez,Leicester City,Left Foot,Tim Howard,Penalty Conceded,Goal,108.1,39.7,43.0,0.2,1
3754204,Scott Sinclair,Aston Villa,Right Foot,Costel Fane Pantilimon,Penalty Conceded,Goal,107.9,40.1,36.8,0.2,1
